Date	High	Low	Open	Close	Volume	Adj Close
2017-07-10	103500.0	101000.0	102500.0	102000.0	356174.0	101661.515625
2017-07-11	102500.0	99700.0	102500.0	100500.0	352591.0	100166.4921875
2017-07-12	99900.0	97600.0	98500.0	98500.0	621240.0	98173.1328125
2017-07-13	100500.0	98500.0	99200.0	99900.0	318819.0	99568.484375
2017-07-14	101500.0	99000.0	100500.0	99000.0	197097.0	98671.46875
2017-07-17	101000.0	99200.0	99200.0	100500.0	211816.0	100166.4921875
2017-07-18	104500.0	101000.0	101500.0	103500.0	701273.0	103156.53125
2017-07-19	106000.0	103500.0	105000.0	105000.0	444737.0	104651.5625
2017-07-20	106500.0	105000.0	106000.0	105000.0	347492.0	104651.5625
2017-07-21	108000.0	105000.0	105500.0	108000.0	595184.0	107641.609375
2017-07-24	110500.0	107000.0	108500.0	109000.0	628757.0	108638.2890625
2017-07-25	110000.0	107000.0	109500.0	107500.0	324849.0	107143.2578125
2017-07-26	108500.0	104000.0	108000.0	105500.0	467047.0	105149.8984375
2017-07-27	109500.0	106000.0	107500.0	109500.0	755654.0	109136.625
2017-07-28	114000.0	109500.0	112500.0	111000.0	1687002.0	110631.6484375
2017-07-31	121000.0	112500.0	113500.0	120000.0	3120156.0	119601.7734375
2017-08-01	124500.0	117000.0	121500.0	118000.0	2508504.0	117608.4140625
2017-08-02	116500.0	110500.0	113500.0	114500.0	2152274.0	114120.03125
2017-08-03	117000.0	112500.0	116500.0	114500.0	1007302.0	114120.03125
2017-08-04	115500.0	110000.0	113500.0	110500.0	941027.0	110133.3046875
2017-08-07	112500.0	108000.0	111000.0	110500.0	678083.0	110133.3046875
2017-08-08	113500.0	110500.0	110500.0	111000.0	478659.0	110631.6484375
2017-08-09	111500.0	107500.0	111000.0	108500.0	623624.0	108139.9453125
2017-08-10	111500.0	107000.0	110000.0	108500.0	790214.0	108139.9453125
2017-08-11	110500.0	106500.0	107500.0	110000.0	783638.0	109634.96875
2017-08-14	114000.0	111000.0	112500.0	113000.0	705373.0	112625.015625
2017-08-16	115000.0	113500.0	114500.0	114500.0	545437.0	114120.03125
2017-08-17	116000.0	113500.0	115500.0	114500.0	359227.0	114120.03125
2017-08-18	115000.0	112500.0	113000.0	113500.0	353415.0	113123.3515625
2017-08-21	115000.0	113000.0	114000.0	114000.0	257439.0	113621.6953125
2017-08-22	116500.0	113000.0	114500.0	115500.0	434151.0	115116.71875
2017-08-23	116500.0	114500.0	116500.0	115000.0	284841.0	114618.3828125
2017-08-24	118500.0	115500.0	115500.0	116500.0	494534.0	116113.3984375
2017-08-25	118500.0	116500.0	117500.0	117500.0	411686.0	117110.078125
2017-08-28	118500.0	116500.0	118000.0	118000.0	298415.0	117608.4140625
2017-08-29	120000.0	116500.0	117000.0	119000.0	679797.0	118605.09375
